,Sang - Kunstner,link,starttidspunkt (i sek),Shoutout
60,Pippi Langstrømpe,https://www.youtube.com/watch?v=RB-5-091k-w&feature=youtu.be,3.0,
61,Tro på os to - SEB ,https://www.youtube.com/watch?v=bDhkQtYe5Lw,5.0,
62,Emil fra Lønneberg- Unknown,https://www.youtube.com/watch?v=HkWo08b1lLo,11.0,
63,Dansk intro til Luftens Helte - Unknown,https://www.youtube.com/watch?v=ZfJQ4BQ37Ls,0.0,
64,Glad i bad - Alletiders Nisse,https://www.youtube.com/watch?v=yvEC0wDtAU4,0.0,
65,Nanna - Buster,https://www.youtube.com/watch?v=CTyB89fOqhE,15.0,
66,Vi er nummer et! - Robby rådden ,https://www.youtube.com/watch?v=FJPotonU_hI,0.0,
67,Pigen er min - Cool Kids,https://www.youtube.com/watch?v=0ZQ5UzVhg7w,6.0,
68,Emperor's New School Danish Intro - Kuzco,https://www.youtube.com/watch?v=mp-gNsO2Z_8,0.0,
69,Hey hey hyv - Der var engang en dreng,https://www.youtube.com/watch?v=x-1hBndlBME,30.0,
70,Kickflipper - Razz,https://www.youtube.com/watch?v=VqY5whqbf20,50.0,
71,Disneys Robin Hood (1973) Intro,https://www.youtube.com/watch?v=PKYEKhxWy6o,0.0,
72,Man er som man er - Krummerne,https://www.youtube.com/watch?v=cfYGBRb5Ka0,5.0,
73,Braceface Intro Danish/Dansk,https://www.youtube.com/watch?v=ZsUgQlM5Hn8,0.0,
74,Hola Chica - Sandra Monique,https://www.youtube.com/watch?v=A7E0etwxy5g,75.0,
75,Det rent og skær nødvendige - Baloo,https://www.youtube.com/watch?v=HkSSxMruiyI,3.0,
76,Drømte mig en drøm i nat - Absalons hemmelighed,https://www.youtube.com/watch?v=H2GtWYDAkzc,10.0,
77,Hjælp jeg er en fisk! - Creamy ,https://www.youtube.com/watch?v=LLQt1QbUtrE,32.0,
78,Gnotterne intro,https://www.youtube.com/watch?v=_xekWhMM9Vk,0.0,
79,Wulle Wulle Wap! - Jungledyret Hugo,https://www.youtube.com/watch?v=0IYOKfQ0vjM,6.0,
80,Dragonball intro sangen - Goku ,https://www.youtube.com/watch?v=S9kN0pct-Q8,0.0,
81,Mumitroldene introsang - Unkown,https://www.youtube.com/watch?v=u-46GTL5IQY,0.0,
82,Teenage Mutant Ninja Turtles,https://www.youtube.com/watch?v=nNa2Fr6CA0E&list=PLMp6IMUAXDQVi1PcBcuznEyUrWC2HS239&index=31,0.0,
83,Brandy og Hr. Vimse intro Danish/Dansk - Unknown ,https://www.youtube.com/watch?v=ADYu9jkImAE,0.0,
84,Hvad så Scooby doo? - Scooby Doo,https://www.youtube.com/watch?v=lsLC8Ghzy7M,0.0,
85,Sigurds bjørnetime intro - Sigurd,https://www.youtube.com/watch?v=3WDUu-1iBRQ&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=120,,
86,Mit allerfarligste sted - Bamse,https://www.youtube.com/watch?v=tmNqf4wYW4k,0.0,
87,,,,
88,Hannah Montana - The Best Of Both Worlds,https://www.youtube.com/watch?v=uVjRe8QXFHY,18.0,
89,Duedrengen - Det DUe Dreng!,https://www.youtube.com/watch?v=JOG3y0DhRSQ,0.0,
